rupeevest_code,fund_name,amfi_code
46445,HDFC Business Cycle Fund-Reg(G),
46472,Kotak Business Cycle,150626
46546,ICICI Pru Housing Opp Fund-Reg(G),
46585,HDFC Defence Fund-Reg(G),
46606,Samco ELSS Tax Saver Fund-Reg(G),
46622,Sundaram Flexi Cap Fund-Reg(G),
46624,LIC MF Multi Cap Fund-Reg(G),
46629,Kotak Banking & Financial Services,151381
46678,Quant Large Cap Fund-Reg(G),
46699,Baroda BNP Paribas Flexi Cap Fund-Reg(G),
46764,Tata Housing Opportunities Fund-Reg(G),
46769,WOC Mid Cap Fund-Reg(G),
46773,WOC ELSS Tax Saver Fund-Reg(G),
46979,ICICI Pru Transportation and Logistics Fund-Reg(G),
46986,Bandhan Transportation and Logistics Fund-Reg(G),
47079,WOC Large Cap Fund-Reg(G),
47089,JM Midcap Fund-Reg(G),
47224,ICICI Pru Nifty Pharma Index Fund-Reg(G),
47272,HSBC Multi Cap Fund-Reg(G),
47302,360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),
47332,ICICI Pru Nifty Commodities ETF,
47389,Bandhan Financial Services,151818
47480,Tata Multicap Fund-Reg(G),
47567,360 ONE Flexicap Fund-Reg(G),
47579,Invesco India Manufacturing Fund-Reg(G),
47580,Axis Business Cycles Fund-Reg(G),
47596,Mirae Asset Flexi Cap Fund-Reg(G),
47648,HDFC MNC Fund-Reg(G),
47653,SBI Dividend Yield Fund-Reg(G),
47657,Navi ELSS Tax Saver Nifty 50 Index Fund-Reg(G),
47753,Samco Active Momentum Fund-Reg(G),
47918,ICICI Pru Innovation,151579
47940,Baroda BNP Paribas Value,151747
47948,Kotak Consumption Fund-Reg(G),
47949,Kotak Healthcare Fund-Reg(G),
47951,Quant Business Cycle Fund-Reg(G),
47989,Quant BFSI Fund-Reg(G),
48035,Quant Healthcare Fund-Reg(G),
48040,DSP Multicap Fund-Reg(G),
48061,Bajaj Finserv Flexi Cap,151898
48063,Bajaj Finserv Large and Mid Cap,152406
48083,Kotak Quant Fund-Reg(G),
48089,Mirae Asset Multicap,151812
48114,HDFC Transportation and Logistics Fund-Reg(G),
48120,Quant Manufacturing Fund-Reg(G),
48124,HSBC Consumption Fund-Reg(G),
48135,NJ Flexi Cap Fund-Reg(G),
48146,Baroda BNP Paribas Small Cap,152130
48147,Edelweiss Multi Cap Fund-Reg(G),
48169,Nippon India Innovation Fund-Reg(G),
48179,Mahindra Manulife Business Cycle Fund-Reg(G),
48189,HDFC Technology Fund-Reg(G),
48195,Quant Teck Fund-Reg(G),
48199,WOC Multi Cap Fund-Reg(G),
48220,HDFC Pharma and Healthcare Fund-Reg(G),
48238,UTI Innovation Fund-Reg(G),
48248,Quantum Small Cap Fund-Reg(G),
48253,Axis India Manufacturing Fund-Reg(G),
48291,Aditya Birla SL Transportation and Logistics Fund-Reg(G),
48299,Helios Flexi Cap,152136
48332,WOC Banking & Financial Services Fund-Reg(G),
48333,WOC Large & Mid Cap Fund-Reg(G),
48334,Quant Momentum Fund-Reg(G),
48341,Quant PSU Fund-Reg(G),
48342,Quant Consumption Fund-Reg(G),
48343,Quant Commodities Fund-Reg(G),
48350,DSP Banking & Financial Services Fund-Reg(G),
48373,Union Childrens Fund-Reg(G),
48388,Motilal Oswal Small Cap Fund-Reg(G),
48427,DSP Nifty Healthcare ETF,
48451,TRUSTMF Flexi Cap Fund-Reg(G),
48452,JM Small Cap Fund-Reg(G),
48456,Groww Banking & Financial Services Fund-Reg(G),
48463,Baroda BNP Paribas Innovation Fund-Reg(G),
48472,WOC Pharma and Healthcare Fund-Reg(G),
48474,SBI Energy Opportunities Fund-Reg(G),
48475,SBI Automotive Opportunities Fund-Reg(G),
48488,Motilal Oswal Large Cap Fund-Reg(G),
48489,Motilal Oswal Multi Cap Fund-Reg(G),
48491,Aditya Birla SL Quant Fund-Reg(G),
48499,Edelweiss Business Cycle Fund-Reg(G),
48527,Old Bridge Focused Fund-Reg(G),
48543,PGIM India Large and Mid Cap Fund(G),
48587,Kotak Technology Fund-Reg(G),
48599,Union Business Cycle,152411
48606,Canara Robeco Manufacturing,152447
48655,HDFC Manufacturing Fund-Reg(G),
48656,Bandhan Innovation Fund-Reg(G),
48683,Tata Nifty Auto Index Fund-Reg(G),
48744,Samco Special Opportunities Fund-Reg(G),
48806,Motilal Oswal Quant Fund-Reg(G),
48809,Kotak Special Opportunities,152703
48833,WOC Special Opp Fund-Reg(G),
48881,Mahindra Manulife Manufacturing Fund-Reg(G),
48896,ICICI Pru Energy Opportunities Fund-Reg(G),
48897,Helios Financial Services Fund-Reg(G),
48899,SBI Innovative Opportunities Fund-Reg(G),
48901,Franklin India Multi Cap Fund-Reg(G),
48902,SBI Quant Fund-Reg(G),
48904,Baroda BNP Paribas Manufacturing Fund-Reg(G),
48943,Kotak Transportation & Logistics Fund-Reg(G),
48947,ICICI Pru Equity Minimum Variance Fund-Reg(G),
48949,Nippon India Nifty Auto Index Fund-Reg(G),
48956,ITI Large & Mid Cap Fund-Reg(G),
48957,DSP Business Cycle Fund-Reg(G),
48959,Motilal Oswal Business Cycle Fund-Reg(G),
48960,Motilal Oswal Digital India Fund-Reg(G),
48962,Motilal Oswal Manufacturing Fund-Reg(G),
48964,Bank of India Business Cycle Fund-Reg(G),
48965,Bajaj Finserv Large Cap,152780
48968,PGIM India Multi Cap Fund-Reg(G),
48975,PGIM India Healthcare Fund-Reg(G),
48991,TRUSTMF Small Cap Fund-Reg(G),
49014,Bandhan Business Cycle Fund-Reg(G),
49020,Union Active Momentum Fund-Reg(G),
49046,Kotak MNC Fund-Reg(G),
49047,Invesco India Technology Fund-Reg(G),
49051,Axis Consumption Fund-Reg(G),
49067,Baroda BNP Paribas Dividend Yield Fund-Reg(G),
